,score,features_number,model
794,0.0,8,pmelif
795,0.0,8,melif
796,0.0,9,pmelif
797,0.0,9,melif
798,0.0,10,pmelif
799,0.0,10,melif
800,0.0,1,pmelif
801,0.0,1,melif
802,0.0,2,pmelif
803,0.0,2,melif
804,0.0,3,pmelif
805,0.0,3,melif
806,0.0,4,pmelif
807,0.0,4,melif
808,0.0,5,pmelif
809,0.0,5,melif
810,0.0,6,pmelif
811,0.0,6,melif
812,0.0,7,pmelif
813,0.0,7,melif
814,0.0,8,pmelif
815,0.0,8,melif
816,0.0,9,pmelif
817,0.0,9,melif
818,0.0,10,pmelif
819,0.0,10,melif
820,0.0,1,pmelif
821,0.0,1,melif
822,0.0,2,pmelif
823,0.0,2,melif
824,0.0,3,pmelif
825,0.0,3,melif
826,0.0,4,pmelif
827,0.0,4,melif
828,0.0,5,pmelif
829,0.0,5,melif
830,0.0,6,pmelif
831,0.0,6,melif
832,0.0,7,pmelif
833,0.0,7,melif
834,0.0,8,pmelif
835,0.0,8,melif
836,0.0,9,pmelif
837,0.0,9,melif
838,0.0,10,pmelif
839,0.0,10,melif
840,0.0,1,pmelif
841,0.0,1,melif
842,0.0,2,pmelif
843,0.0,2,melif
844,0.0,3,pmelif
845,0.0,3,melif
846,0.0,4,pmelif
847,0.0,4,melif
848,0.0,5,pmelif
849,0.0,5,melif
850,0.0,6,pmelif
851,0.0,6,melif
852,0.0,7,pmelif
853,0.0,7,melif
854,0.0,8,pmelif
855,0.0,8,melif
856,0.0,9,pmelif
857,0.0,9,melif
858,0.0,10,pmelif
859,0.0,10,melif
860,0.0,1,pmelif
861,0.0,1,melif
862,0.0,2,pmelif
863,0.0,2,melif
864,0.0,3,pmelif
865,0.0,3,melif
866,0.0,4,pmelif
867,0.0,4,melif
868,0.0,5,pmelif
869,0.0,5,melif
870,0.0,6,pmelif
871,0.0,6,melif
872,0.0,7,pmelif
873,0.0,7,melif
874,0.0,8,pmelif
875,0.0,8,melif
876,0.0,9,pmelif
877,0.0,9,melif
878,0.0,10,pmelif
879,0.0,10,melif
880,0.0,1,pmelif
881,0.0,1,melif
882,0.0,2,pmelif
883,0.0,2,melif
884,0.0,3,pmelif
885,0.0,3,melif
886,0.0,4,pmelif
887,0.0,4,melif
888,0.0,5,pmelif
889,0.0,5,melif
890,0.0,6,pmelif
891,0.0,6,melif
892,0.0,7,pmelif
893,0.0,7,melif
894,0.0,8,pmelif
895,0.0,8,melif
896,0.0,9,pmelif
897,0.0,9,melif
898,0.0,10,pmelif
899,0.0,10,melif
900,0.0,1,pmelif
901,0.0,1,melif
902,0.0,2,pmelif
903,0.0,2,melif
904,0.0,3,pmelif
905,0.0,3,melif
906,0.0,4,pmelif
907,0.0,4,melif
908,0.0,5,pmelif
909,0.0,5,melif
910,0.0,6,pmelif
911,0.0,6,melif
912,0.0,7,pmelif
913,0.0,7,melif
914,0.0,8,pmelif
915,0.0,8,melif
916,0.0,9,pmelif
917,0.0,9,melif
918,0.0,10,pmelif
919,0.0,10,melif
920,0.0,1,pmelif
921,0.0,1,melif
922,0.0,2,pmelif
923,0.0,2,melif
924,0.0,3,pmelif
925,0.0,3,melif
926,0.0,4,pmelif
927,0.0,4,melif
928,0.0,5,pmelif
929,0.0,5,melif
930,0.0,6,pmelif
931,0.0,6,melif
932,0.0,7,pmelif
933,0.0,7,melif
934,0.0,8,pmelif
935,0.0,8,melif
936,0.0,9,pmelif
937,0.0,9,melif
938,0.0,10,pmelif
939,0.0,10,melif
940,0.0,1,pmelif
941,0.0,1,melif
942,0.0,2,pmelif
943,0.0,2,melif
944,0.0,3,pmelif
945,0.0,3,melif
946,0.0,4,pmelif
947,0.0,4,melif
948,0.0,5,pmelif
949,0.0,5,melif
950,0.0,6,pmelif
951,0.0,6,melif
952,0.0,7,pmelif
953,0.0,7,melif
954,0.0,8,pmelif
955,0.0,8,melif
956,0.0,9,pmelif
957,0.0,9,melif
958,0.0,10,pmelif
959,0.0,10,melif
960,0.0,1,pmelif
961,0.0,1,melif
962,0.0,2,pmelif
963,0.0,2,melif
964,0.0,3,pmelif
965,0.0,3,melif
966,0.0,4,pmelif
967,0.0,4,melif
968,0.0,5,pmelif
969,0.0,5,melif
970,0.0,6,pmelif
971,0.0,6,melif
972,0.0,7,pmelif
973,0.0,7,melif
974,0.0,8,pmelif
975,0.0,8,melif
976,0.0,9,pmelif
977,0.0,9,melif
978,0.0,10,pmelif
979,0.0,10,melif
980,0.0,1,pmelif
981,0.0,1,melif
982,0.0,2,pmelif
983,0.0,2,melif
984,0.0,3,pmelif
985,0.0,3,melif
986,0.0,4,pmelif
987,0.0,4,melif
988,0.0,5,pmelif
989,0.0,5,melif
990,0.0,6,pmelif
991,0.0,6,melif
992,0.0,7,pmelif
993,0.0,7,melif
994,0.0,8,pmelif
995,0.0,8,melif
996,0.0,9,pmelif
997,0.0,9,melif
998,0.0,10,pmelif
999,0.0,10,melif
1000,0.0,1,pmelif
1001,0.0,1,melif
1002,0.0,2,pmelif
1003,0.0,2,melif
1004,0.0,3,pmelif
1005,0.0,3,melif
1006,0.0,4,pmelif
1007,0.0,4,melif
1008,0.0,5,pmelif
1009,0.0,5,melif
1010,0.0,6,pmelif
1011,0.0,6,melif
1012,0.0,7,pmelif
1013,0.0,7,melif
1014,0.0,8,pmelif
1015,0.0,8,melif
1016,0.0,9,pmelif
1017,0.0,9,melif
1018,0.0,10,pmelif
1019,0.0,10,melif
1020,0.0,1,pmelif
1021,0.0,1,melif
1022,0.0,2,pmelif
1023,0.0,2,melif
1024,0.0,3,pmelif
1025,0.0,3,melif
1026,0.0,4,pmelif
1027,0.0,4,melif
1028,0.0,5,pmelif
1029,0.0,5,melif
1030,0.0,6,pmelif
1031,0.0,6,melif
1032,0.0,7,pmelif
1033,0.0,7,melif
1034,0.0,8,pmelif
1035,0.0,8,melif
1036,0.0,9,pmelif
1037,0.0,9,melif
1038,0.0,10,pmelif
1039,0.0,10,melif
1040,0.0,1,pmelif
1041,0.0,1,melif
1042,0.0,2,pmelif
1043,0.0,2,melif
1044,0.0,3,pmelif
1045,0.0,3,melif
1046,0.0,4,pmelif
1047,0.0,4,melif
1048,0.0,5,pmelif
1049,0.0,5,melif
1050,0.0,6,pmelif
1051,0.0,6,melif
1052,0.0,7,pmelif
1053,0.0,7,melif
1054,0.0,8,pmelif
1055,0.0,8,melif
1056,0.0,9,pmelif
1057,0.0,9,melif
1058,0.0,10,pmelif
1059,0.0,10,melif
1060,0.0,1,pmelif
1061,0.0,1,melif
1062,0.1,2,pmelif
1063,0.1,2,melif
1064,0.1,3,pmelif
1065,0.1,3,melif
1066,0.1,4,pmelif
1067,0.1,4,melif
1068,0.1,5,pmelif
1069,0.1,5,melif
1070,0.1,6,pmelif
1071,0.1,6,melif
1072,0.1,7,pmelif
1073,0.1,7,melif
1074,0.1,8,pmelif
1075,0.1,8,melif
1076,0.1,9,pmelif
1077,0.1,9,melif
1078,0.1,10,pmelif
1079,0.1,10,melif
1080,0.0,1,pmelif
1081,0.0,1,melif
1082,0.0,2,pmelif
1083,0.0,2,melif
1084,0.0,3,pmelif
1085,0.0,3,melif
1086,0.0,4,pmelif
1087,0.0,4,melif
1088,0.0,5,pmelif
1089,0.0,5,melif
1090,0.0,6,pmelif
1091,0.0,6,melif
1092,0.0,7,pmelif
1093,0.0,7,melif
1094,0.0,8,pmelif
1095,0.0,8,melif
1096,0.0,9,pmelif
1097,0.0,9,melif
1098,0.0,10,pmelif
1099,0.0,10,melif
1100,0.0,1,pmelif
1101,0.0,1,melif
1102,0.0,2,pmelif
1103,0.0,2,melif
1104,0.0,3,pmelif
1105,0.0,3,melif
1106,0.0,4,pmelif
1107,0.0,4,melif
1108,0.0,5,pmelif
1109,0.0,5,melif
1110,0.0,6,pmelif
1111,0.0,6,melif
1112,0.0,7,pmelif
1113,0.0,7,melif
1114,0.0,8,pmelif
1115,0.0,8,melif
1116,0.0,9,pmelif
1117,0.0,9,melif
1118,0.0,10,pmelif
1119,0.0,10,melif
1120,0.0,1,pmelif
1121,0.0,1,melif
1122,0.0,2,pmelif
1123,0.0,2,melif
1124,0.0,3,pmelif
1125,0.0,3,melif
1126,0.0,4,pmelif
1127,0.0,4,melif
1128,0.0,5,pmelif
1129,0.0,5,melif
1130,0.0,6,pmelif
1131,0.0,6,melif
1132,0.0,7,pmelif
1133,0.0,7,melif
1134,0.0,8,pmelif
1135,0.0,8,melif
1136,0.0,9,pmelif
1137,0.0,9,melif
1138,0.0,10,pmelif
1139,0.0,10,melif
1140,0.0,1,pmelif
1141,0.0,1,melif
1142,0.0,2,pmelif
1143,0.0,2,melif
1144,0.0,3,pmelif
1145,0.0,3,melif
1146,0.0,4,pmelif
1147,0.0,4,melif
1148,0.0,5,pmelif
